Generated with:

import os
from idautils import *
from idaapi import *
from idc import *

for segea in Segments():
    for ea in Functions(segea, SegEnd(segea)):
        eaEnd = FindFuncEnd(ea)
        startOffset = idaapi.get_fileregion_offset(ea)
        endOffset = idaapi.get_fileregion_offset(eaEnd)
        
        print str(hex(ea))[:-1] + ", " + str(startOffset) + ", " + str(endOffset)

Needs adding to build.ps1 with the first column as the selector for the inputs to mdasm.exe

0x80037f68, 165736, 165816
0x80037fb8, 165816, 165856
0x80037fe0, 165856, 165884
0x80037ffc, 165884, 165892
0x80038004, 165892, 166000
0x80038070, 166000, 167228
0x8003853c, 167228, 167272
0x80038568, 167272, 167544
0x80038678, 167544, 167560
0x800386a4, 167588, 167912
0x800387e8, 167912, 168012
0x8003884c, 168012, 168276
0x80038954, 168276, 168360
0x800389a8, 168360, 168448
0x80038a00, 168448, 168480
0x80038a20, 168480, 168556
0x80038a6c, 168556, 168572
0x80038a7c, 168572, 168584
0x80038a88, 168584, 168756
0x80038b34, 168756, 168780
0x80038b4c, 168780, 168856
0x80038b98, 168856, 168884
0x80038bb4, 168884, 169016
0x80038c38, 169016, 169232
0x80038d10, 169232, 169320
0x80038e28, 169512, 169776
0x80038f30, 169776, 169788
0x80038f3c, 169788, 170236
0x800390fc, 170236, 170448
0x800391d0, 170448, 173404
0x80039d5c, 173404, 173492
0x80039db4, 173492, 173764
0x80039ec4, 173764, 174268
0x8003a0bc, 174268, 174800
0x8003a2d0, 174800, 175716
0x8003a664, 175716, 176504
0x8003a978, 176504, 176684
0x8003aa2c, 176684, 177508
0x8003ad64, 177508, 177580
0x8003adac, 177580, 177624
0x8003add8, 177624, 177856
0x8003aec0, 177856, 179024
0x8003b350, 179024, 179316
0x8003b474, 179316, 179540
0x8003b554, 179540, 179560
0x8003b568, 179560, 179680
0x8003b5e0, 179680, 179732
0x8003b614, 179732, 179920
0x8003b6d0, 179920, 180116
0x8003b794, 180116, 180464
0x8003b8f0, 180464, 181228
0x8003bbec, 181228, 181460
0x8003bcd4, 181460, 182044
0x8003bf1c, 182044, 182860
0x8003c24c, 182860, 183532
0x8003c4ec, 183532, 184668
0x8003c95c, 184668, 185240
0x8003cb98, 185240, 185328
0x8003cbf0, 185328, 185460
0x8003cc74, 185460, 185480
0x8003cc94, 185492, 185920
0x8003ce40, 185920, 185976
0x8003ce78, 185976, 185988
0x8003ce84, 185988, 186104
0x8003cef8, 186104, 186336
0x8003cfe0, 186336, 186480
0x8003d0d0, 186576, 186660
0x8003d124, 186660, 186756
0x8003d184, 186756, 186792
0x8003d1a8, 186792, 186808
0x8003d1b8, 186808, 186844
0x8003d1dc, 186844, 187068
0x8003d2bc, 187068, 187212
0x8003d34c, 187212, 187300
0x8003d3a4, 187300, 187388
0x8003d3fc, 187388, 187468
0x8003d44c, 187468, 187596
0x8003d4cc, 187596, 187680
0x8003d520, 187680, 187692
0x8003d52c, 187692, 187704
0x8003d538, 187704, 187752
0x8003d568, 187752, 187796
0x8003d6a8, 188072, 188108
0x8003d6cc, 188108, 188380
0x8003d7dc, 188380, 188940
0x8003da0c, 188940, 189024
0x8003da60, 189024, 189084
0x8003da9c, 189084, 189180
0x8003dafc, 189180, 189228
0x8003db2c, 189228, 189356
0x8003dbac, 189356, 189724
0x8003dd1c, 189724, 189852
0x8003dd9c, 189852, 189876
0x8003ddb4, 189876, 189900
0x8003ddcc, 189900, 190032
0x8003de50, 190032, 190128
0x8003deb0, 190128, 190168
0x8003ded8, 190168, 190256
0x8003df30, 190256, 190512
0x8003e030, 190512, 190696
0x8003e0e8, 190696, 191408
0x8003e3b0, 191408, 191672
0x8003e4b8, 191672, 192116
0x8003e674, 192116, 192912
0x8003e990, 192912, 193500
0x8003ebdc, 193500, 193580
0x8003ec2c, 193580, 193708
0x8003ecac, 193708, 193728
0x8003eccc, 193740, 193868
0x8003ed4c, 193868, 195340
0x8003f30c, 195340, 195592
0x8003f408, 195592, 195684
0x8003f464, 195684, 195768
0x8003f4b8, 195768, 195852
0x8003f50c, 195852, 195888
0x8003f530, 195888, 196576
0x8003f7e0, 196576, 196664
0x8003f838, 196664, 196684
0x8003f84c, 196684, 196988
0x8003f97c, 196988, 197044
0x8003f9b4, 197044, 197644
0x8003fc0c, 197644, 197716
0x8003fc54, 197716, 197968
0x8003fd50, 197968, 198576
0x8003ffb0, 198576, 198708
0x80040034, 198708, 199084
0x800401ac, 199084, 199328
0x800402a0, 199328, 199652
0x800403e4, 199652, 199832
0x80040498, 199832, 200080
0x80040590, 200080, 200268
0x8004064c, 200268, 200612
0x800407a4, 200612, 200892
0x800408bc, 200892, 201612
0x80040b8c, 201612, 202180
0x80040dc4, 202180, 202612
0x80040f74, 202612, 202980
0x800410e4, 202980, 203032
0x80041118, 203032, 203084
0x8004114c, 203084, 203340
0x8004124c, 203340, 203392
0x80041280, 203392, 203836
0x8004143c, 203836, 204044
0x8004150c, 204044, 204172
0x8004158c, 204172, 207200
0x80042160, 207200, 207248
0x80042190, 207248, 207256
0x80042198, 207256, 208640
0x80042700, 208640, 208668
0x8004271c, 208668, 208688
0x80042730, 208688, 208872
0x80042814, 208916, 208956
0x8004283c, 208956, 208968
0x80042848, 208968, 209280
0x80042980, 209280, 209288
0x80042988, 209288, 209764
0x80042b64, 209764, 209908
0x80042bf4, 209908, 210488
0x80042e38, 210488, 210808
0x80042f78, 210808, 210880
0x80042fc0, 210880, 211184
0x800430f0, 211184, 211256
0x80043138, 211256, 211488
0x80043220, 211488, 212080
0x80043470, 212080, 212136
0x800434a8, 212136, 212212
0x800434f4, 212212, 212388
